kód#název útvaru#území#SM#stav#přebírá#poznámka
0000#KŘP HL. M. PRAHY#N#N# # #
001117#MOP VOKOVICE PRAHA I.#A#A# # #
001118#MOP ŘEPY PRAHA I.#A#A# # #
001119#MOP RUZYNĚ PRAHA I.#A#A# # #
001120#MOP HOLEŠOVICE PRAHA I.#A#A# # #
001121#MOP LETNÁ PRAHA I.#A#A# # #
001122#MOP VÝSTAVIŠTĚ PRAHA I.#A#A# # #
001150#OŽP - MASARYKOVO NÁDRAŽÍ PRAHA I.#A#A# # #
001151#OŽP - HOLEŠOVICE PRAHA I.#A#A# # #
001157#SVK PRAHA I.#N#N# # #
001163#ODD. HLÍDKOVÉ SL. PRAHA I.#N#N# # #
001170#OOK - SKPV OŘP PI.#N#N# # #
001171#OOK - 1.ODD. OŘP PI.#N#N# # #
001172#OOK - 2.ODD. OŘP PI.#N#N# # #
001173#OOK - 3.ODD. OŘP PI.#N#N# # #
001174#OOK - 4.ODD. OŘP PI.#N#N# # #
001175#OOK - 5.ODD. OŘP PI.#N#N# # #
001176#OOK - 6.ODD. OŘP PI.#N#N# # #
001177#OOK - 7.ODD. OŘP PI.#N#N# # #
001178#OOK - 8.ODD. OŘP PI.#N#N# # #
001179#OOK - 9.ODD. OŘP PI.#N#N# # #
001180#OOK - 10.ODD. OŘP PI.#N#N# # #
001190#OHK - SKPV OŘ PRAHA I.#N#N# # #
001191#OHK - 1.ODD. PRAHA I.#N#N# # #
001192#OHK - 2.ODD. PRAHA I.#N#N# # #
001193#OHK - 3.ODD. PRAHA I.#N#N# # #
0012#OŘP PRAHA II.#N#N# # #
001202#SKPV OŘP PRAHA II. - OOK#N#N#cancel#001205#
001203#SKPV OŘP II. - OHK#N#N#cancel#001205#
001204#SKPV OŘP II. - DTS#N#N#cancel#001205#
001205#ETŘ OŘP PRAHA II.#N#N# # #
001206#DI OŘP PRAHA II.#N#N# # #
001210#MOP NOVÉ MĚSTO OŘP II.#A#A# # #
001211#MOP VINOHRADY OŘP II.#A#A# # #
001212#MOP KOŠÍŘE OŘP II.#A#A# # #
001213#MOP SMÍCHOV OŘP II.#A#A# # #
001214#MOP BARRANDOV OŘP II.#A#A# # #
001215#MOP RADOTÍN OŘP II.#A#A# # #
001216#MOP STODŮLKY OŘP II.#A#A# # #
001217#MOP ZLIČÍN OŘP II.#A#A# # #
001250#MOP WILSONOVO NÁDRAŽÍ#A#A#rename##PŮVODNĚ OŽP - PRAHA HLAVNÍ NÁDRAŽÍ
001251#MOP SMÍCHOVSKÉ NÁDRAŽÍ#A#A#rename##PŮVODNĚ OŽP - SMÍCHOVSKÉ NÁDRAŽÍ
001257#SVK OŘP II.#N#N# # #
001263#ODD. HLÍDKOVÉ SL. SMÍCHOV#N#N# # #
001264#ODD. HLÍDKOVÉ SL. VINOHRADY#N#N# # #
001270#OOK - SKPV OŘP PII.#N#N# # #
001271#OOK - 1.ODD. OŘP PII.#N#N# # #
001272#OOK - 2.ODD. OŘP PII.#N#N# # #
001273#OOK - 3.ODD. OŘP PII.#N#N# # #
001274#OOK - 4.ODD. OŘP PII.#N#N# # #
001275#OOK - 5.ODD. OŘP PII.#N#N# # #
001276#OOK - 6.ODD. OŘP PII.#N#N# # #
001277#OOK - 7.ODD. OŘP PII.#N#N# # #
001278#OOK - 8.ODD. OŘP PII.#N#N# # #
001279#OOK - 9.ODD. OŘP PII.#N#N# # #
001290#OHK - SKPV OŘP II.#N#N# # #
001291#OHK - 1.ODD. OŘP II.#N#N# # #
001292#OHK - 2.ODD. OŘP II.#N#N# # #
001293#OHK - 3.ODD. OŘP II.#N#N# # #
0013#OŘP PRAHA III.#N#N# # #
001302#SKPV OŘP PRAHA III. - OOK#N#N#cancel#001370#
001303#SKPV OŘP PRAHA III. - OHK#N#N#cancel#001390#
001305#ETŘ OŘP PRAHA III.#N#N# # #
001306#DI OŘP PRAHA III.#N#N# # #
001310#MOP JAROV PRAHA III.#A#A# # #
001311#MOP ŽIŽKOV PRAHA III.#A#A# # #
001312#MOP KARLÍN PRAHA III.#A#A# # #
001313#MOP KOBYLISY PRAHA III.#A#A# # #
001314#MOP LIBEŇ PRAHA III.#A#A# # #
001315#MOP BOHNICE PRAHA III.#A#A# # #
001316#MOP ĎÁBLICE PRAHA III.#A#A# # #
001317#MOP ČAKOVICE PRAHA III.#A#A# # #
001318#MOP KYJE PRAHA III.#A#A# # #
001319#MOP PROSEK PRAHA III.#A#A# # #
001320#MOP VYSOČANY PRAHA III.#A#A# # #
001321#MOP HORNÍ POČERNICE PRAHA III.#A#A# # #
001322#MOP LETŇANY PRAHA III.#A#A# # #
001323#MOP ÚJEZD NAD LESY PRAHA III.#A#A# # #
001357#SVK OŘP PRAHA III.#N#N# # #
001363#ODD. HLÍDKOVÉ SL. PRAHA III.#N#N# # #
001370#OOK - SKPV OŘP PIII.#N#N# # #
001371#OOK - 1.ODD. OŘP PIII.#N#N# # #
001372#OOK - 2.ODD. OŘP PIII.#N#N# # #
001373#OOK - 3.ODD. OŘP PIII.#N#N# # #
001374#OOK - 4.ODD. OŘP PIII.#N#N# # #
001375#OOK - 5.ODD. OŘP PIII.#N#N# # #
001376#OOK - 6.ODD. OŘP PIII.#N#N# # #
001377#OOK - 7.ODD. OŘP PIII.#N#N# # #
001378#OOK - 8.ODD. OŘP PIII.#N#N# # #
001379#OOK - 9.ODD. OŘP PIII.#N#N# # #
001380#SKUP.-213 PRAHA III.#N#N# # #
001390#OHK - SKPV OŘP III.#N#N# # #
001391#OHK - 1.ODD. OŘP III.#N#N# # #
001392#OHK - 2.ODD. OŘP III.#N#N# # #
001393#OHK - 3.ODD. OŘP III.#N#N# # #
001396#OŘP PRAHA III - OPERATIVNÍ SKUPINA OHK#N#N#new# #
0014#OŘP PRAHA IV.#N#N# # #
001402#SKPV OŘP PRAHA IV. - OOK#N#N#cancel#001470#
001403#SKPV OŘP PRAHA IV. - OHK#N#N#cancel#001490#
001405#ETŘ OŘP PRAHA IV.#N#N# # #
001406#DI OŘP PRAHA IV.#N#N# # #
001410#MOP MODŘANY PRAHA IV.#A#A# # #
001411#MOP LHOTKA PRAHA IV.#A#A# # #
001412#MOP PODOLÍ PRAHA IV.#A#A# # #
001413#MOP SPOŘILOV PRAHA IV.#A#A# # #
001414#MOP NUSLE PRAHA IV.#A#A# # #
001415#MOP JIŽNÍ MĚSTO 1 PRAHA IV.#A#A# # #
001416#MOP JIŽNÍ MĚSTO 2 PRAHA IV.#A#A#cancel#001415#
001417#MOP PANKRÁC PRAHA IV.#A#A# # #
001418#MOP HOSTIVAŘ PRAHA IV.#A#A# # #
001419#MOP VRŠOVICE PRAHA IV.#A#A# # #
001420#MOP STRAŠNICE PRAHA IV.#A#A# # #
001421#MOP ZAHRADNÍ MĚSTO PRAHA IV.#A#A# # #
001422#MOP UHŘINĚVES PRAHA IV.#A#A# # #
001457#SVK OŘP PRAHA IV.#N#N# # #
001463#ODD. HLÍDKOVÉ SL. PRAHA IV.#N#N# # #
001470#OOK - SKPV OŘP PRAHA IV.#N#N# # #
001471#OOK - 1.ODD. OŘP PIV.#N#N# # #
001472#OOK - 2.ODD. OŘP PIV.#N#N# # #
001473#OOK - 3.ODD. OŘP PIV.#N#N# # #
001474#OOK - 4.ODD. OŘP PIV.#N#N# # #
001475#OOK - 5.ODD. OŘP PIV.#N#N# # #
001476#OOK - 6.ODD. OŘP PIV.#N#N# # #
001477#OOK - 7.ODD. OŘP PIV.#N#N# # #
001478#OOK - 8.ODD. OŘP PIV.#N#N# # #
001490#OHK - SKPV OŘP PRAHA IV.#N#N# # #
001491#OHK - 1.ODD. PRAHA IV.#N#N# # #
001492#OHK - 2.ODD. PRAHA IV.#N#N# # #
001493#OHK - 3.ODD. PRAHA IV.#N#N# # #
002100#DN 1 - KONGRESOVA#N#N# # #
002201#DN 2#N#N# # #
002301#DN 3#N#N# # #
002401#DN 4#N#N# # #
0040#OŘ SCP P ČR PRAHA#N#N# # #
004000#ETŘ OŘ SCP P ČR PRAHA#N#N# # #
004002#OŘ SCP - ODB. SPEC. ČINNOSTÍ PRAHA#N#N# # #
004003#OŘ SCP - ODD. PÁTRÁNÍ PRAHA#N#N# # #
004030#ZAŘ. PRO ZAJ. CIZINCŮ VELKÉ PŘÍLEPY#N#N# # #
004031#ZAŘ. PRO ZAJ. CIZINCŮ BĚLÁ-JEZOVÁ#N#N# # #
004040#OŘ SCP - SKUP. DOKUMENTACE PRAHA#N#N# # #
004060#ICP - PRAHA#N#N# # #
004061#ICP - KLADNO#N#N# # #
004062#ICP - MĚLNÍK#N#N# # #
004063#ICP - MLADÁ BOLESLAV#N#N# # #
004064#ICP - PODĚBRADY#N#N# # #
004065#ICP - PRAHA VENKOV#N#N# # #
004066#ICP - PŘÍBRAM#N#N# # #
004110#ICP LETIŠTĚ RUZYNĚ#A#A# # #
0090#CENTRÁLNÍ ÚTVARY#N#N# # #
009000#PP ČR ODB. VNITŘNÍ KONTROLY#N#N# # #
009127#MV ČR ÚZSI#N#N# # #
009242#PP ČR ÚSKPV - INTERPOL#N#N# # #
009300#ETŘ PČR ŘSCP#N#N# # #
009791#BIS#N#N# # #
009801#VEL. VOJ. POLICIE PRAHA#N#N# # #
0100#KŘP STŘEDOČESKÉHO KRAJE#N#N# # #
010000#ETŘ KŘPS#N#N# # #
010007#ODD. SILNIČNÍHO DOHLEDU KŘPS#N#N# # #
010040#DÁLNIČNÍ ODD. MIROŠOVICE#N#N# # #
010041#DÁLNIČNÍ ODD. BERNARTICE#N#N# # #
010042#DÁLNIČNÍ ODD. RUDNÁ#N#N# # #
010043#DÁLNIČNÍ ODD. POŘÍČANY#N#N# # #
010044#DÁLNIČNÍ ODD. NOVÁ VES#N#N# # #
010050#ODD. DOPROVODU VLAKŮ KŘPS#N#N# # #
010057#POŘÍČNÍ ODD. SLAPY#N#N# # #
010058#POŘÍČNÍ ODD. LABE#N#N# # #
010066#OVK KŘPS#N#N# # #
010071#OOK - 1.ODD. KŘPS#N#N# # #
010072#OOK - 2.ODD. KŘPS#N#N# # #
010073#OOK - 3.ODD. KŘPS#N#N# # #
010080#ODBOR HOSP. KRIMINALITY KŘPS#N#N# # #
010081#OHK - 1.ODD. KŘPS#N#N# # #
010082#OHK - 2.ODD. KŘPS#N#N# # #
010083#OHK - 3.ODD. KŘPS#N#N# # #
0101#ÚO BENEŠOV#N#N# # #
010106#DI - BN#N#N# # #
010110#OOP BENEŠOV#A#A# # #
010111#OOP ČECHTICE#A#N# # #
010112#OOP ČERČANY#A#N# # #
010114#OOP SÁZAVA#A#N# # #
010117#OOP TÝNEC NAD SÁZAVOU#A#N# # #
010118#OOP VLAŠIM#A#N# # #
010119#OOP VOTICE#A#N# # #
010171#OOK ÚO SKPV BENEŠOV#N#N# # #
010181#OHK ÚO SKPV BENEŠOV#N#N# # #
010191#SKPV KŘPS - DTŠ BENEŠOV#N#N# # #
0102#ÚO BEROUN#N#N# # #
010206#DI - BE#N#N# # #
010210#OOP BEROUN#A#A# # #
010211#OOP HOŘOVICE#A#N# # #
010213#OOP KARLŠTEJN#A#N# # #
010214#OOP KRÁLŮV DVŮR#A#N# # #
010216#OOP ZDICE#A#N# # #
010271#OOK ÚO SKPV BEROUN#N#N# # #
010281#OHK ÚO SKPV BEROUN#N#N# # #
0103#ÚO KLADNO#N#N# # #
010306#DI - KL#N#N# # #
010311#OOP KLADNO - KROČEHLAVY#A#A# # #
010314#OOP KLADNO#A#A# # #
010317#OOP SLANÝ#A#A# # #
010319#OOP STOCHOV#A#N# # #
010320#OOP KLADNO - VENKOV#A#N# # #
010321#OOP UNHOŠŤ#A#N# # #
010322#OOP VELVARY#A#N# # #
010364#ODD. HLÍDKOVÉ SL. KLADNO#N#N# # #
010371#OOK ÚO SKPV KLADNO#N#N# # #
010372#OOK ÚO SKPV KLADNO - TO SLANÝ#N#N# # #
010381#OHK ÚO SKPV KLADNO#N#N# # #
0104#ÚO KOLÍN#N#N# # #
010406#DI - KO#N#N# # #
010410#OOP ČESKÝ BROD#A#N# # #
010411#OOP KOLÍN#A#A# # #
010412#OOP KOSTELEC NAD ČERNÝMI LESY#A#N# # #
010413#OOP KOUŘIM#A#N# # #
010416#OOP TÝNEC NAD LABEM#A#N# # #
010418#OOP PEČKY#A#N# # #
010471#OOK ÚO SKPV KOLÍN#N#N# # #
010481#OHK ÚO SKPV KOLÍN#N#N# # #
0105#ÚO KUTNÁ HORA#N#N# # #
010506#DI - KH#N#N# # #
010510#OOP ČÁSLAV#A#N# # #
010511#OOP ZRUČ NAD SÁZAVOU#A#N# # #
010512#OOP KUTNÁ HORA#A#A# # #
010515#OOP UHLÍŘSKÉ JANOVICE#A#N# # #
010516#OOP VRDY#A#N#cancel#010512#
010517#OOP ZBRASLAVICE#A#N# # #
010571#OOK ÚO SKPV KUTNÁ HORA#N#N# # #
010581#OHK ÚO SKPV KUTNÁ HORA#N#N# # #
0106#ÚO MĚLNÍK#N#N# # #
010606#DI - ME#N#N# # #
010610#OOP KOSTELEC NAD LABEM#A#A# # #
010611#OOP KRALUPY NAD VLTAVOU#A#A# # #
010612#OOP LUŽEC NAD VLTAVOU#A#A# # #
010613#OOP MĚLNÍK#A#A# # #
010614#OOP MŠENO#A#A# # #
010615#OOP NERATOVICE#A#A# # #
010616#OOP LIBĚCHOV#A#A#cancel#010618#
010617#OOP VOJKOVICE#A#A# # #
010618#OOP HORNÍ POČAPLY#A#A# # #
010671#OOK ÚO SKPV MĚLNÍK#N#N# # #
010681#OHK ÚO SKPV MĚLNÍK#N#N# # #
010691#SKPV KŘPS - DTŠ MĚLNÍK#N#N# # #
0107#ÚO MLADÁ BOLESLAV#N#N# # #
010706#DI - MB#N#N# # #
010711#OOP BĚLÁ POD BEZDĚZEM#A#N# # #
010712#OOP BENÁTKY NAD JIZEROU#A#N# # #
010713#OOP MLADÁ BOLESLAV II#A#A# # #
010714#OOP DOBROVICE#A#N# # #
010717#OOP MLADÁ BOLESLAV#A#A# # #
010718#OOP MNICHOVO HRADIŠTĚ#A#N# # #
010771#OOK ÚO SKPV MLADÁ BOLESLAV#N#N# # #
010781#OHK ÚO SKPV MLADÁ BOLESLAV#N#N# # #
0108#ÚO NYMBURK#N#N# # #
010806#DI - NB#N#N# # #
010810#OOP KŘINEC#A#N# # #
010811#OOP LYSÁ NAD LABEM#A#N# # #
010812#OOP MĚSTEC KRÁLOVÉ#A#N# # #
010813#OOP MILOVICE#A#N# # #
010814#OOP NYMBURK#A#A# # #
010816#OOP PODĚBRADY#A#N# # #
010817#OOP SADSKÁ#A#N# # #
010871#OOK ÚO SKPV NYMBURK#N#N# # #
010881#OHK ÚO SKPV NYMBURK#N#N# # #
010891#SKPV KŘPS - DTŠ NYMBURK#N#N# # #
0111#ÚO PŘÍBRAM#N#N# # #
011106#DI - PB#N#N# # #
011110#OOP BŘEZNICE#A#N# # #
011112#OOP DOBŘÍŠ#A#N# # #
011115#OOP MILÍN#A#N# # #
011119#OOP PŘÍBRAM#A#A# # #
011120#OOP ROŽMITÁL POD TŘEMŠÍNEM#A#N# # #
011121#OOP SEDLČANY#A#N# # #
011123#OOP PŘÍBRAM - VENKOV#A#N# # #
011171#OOK ÚO SKPV PŘÍBRAM#N#N# # #
011181#OHK ÚO SKPV PŘÍBRAM#N#N# # #
011191#SKPV KŘPS - DTŠ PŘÍBRAM#N#N# # #
0112#ÚO RAKOVNÍK#N#N# # #
011206#DI - RA#N#N# # #
011211#OOP HOŘESEDLY#A#N# # #
011212#OOP JESENICE#A#N# # #
011213#OOP ROZTOKY#A#N# # #
011215#OOP NOVÉ STRAŠECÍ#A#N# # #
011216#OOP RAKOVNÍK#A#A# # #
011271#OOK ÚO SKPV RAKOVNÍK#N#N# # #
011281#OHK ÚO SKPV RAKOVNÍK#N#N# # #
0114#ÚO PRAHA VENKOV-JIH#N#N# # #
011406#DI - PV JIH#N#N# # #
011412#OOP ČESTLICE#A#N# # #
011413#OOP JÍLOVÉ U PRAHY#A#N# # #
011414#OOP JESENICE#A#N# # #
011416#OOP ŘÍČANY#A#N# # #
011419#OOP KAMENICE#A#N# # #
011422#OOP HRADIŠTKO#A#N# # #
011471#OOK ÚO SKPV PRAHA VENKOV-JIH#N#N# # #
011481#OHK ÚO SKPV PRAHA VENKOV-JIH#N#N# # #
0115#ÚO PRAHA VENKOV-VÝCHOD#N#N# # #
011506#DI - PV VÝCHOD#N#N# # #
011510#OOP BRANDÝS/LABEM-STARÁ BOLESLAV#A#N# # #
011511#OOP ČELÁKOVICE#A#N# # #
011515#OOP ODOLENÁ VODA#A#N# # #
011517#OOP ÚVALY#A#N# # #
011571#OOK ÚO SKPV PRAHA VENKOV-VÝCHOD#N#N# # #
011581#OHK ÚO SKPV PRAHA VENKOV-VÝCHOD#N#N# # #
0116#ÚO PRAHA VENKOV-ZÁPAD#N#N# # #
011606#DI - PV ZÁPAD#N#N# # #
011614#OOP LIBČICE#A#N# # #
011618#OOP MNÍŠEK POD BRDY#A#N# # #
011620#OOP ŘEVNICE#A#N# # #
011621#OOP HOSTIVICE#A#N# # #
011671#OOK ÚO SKPV PRAHA VENKOV-ZÁPAD#N#N# # #
011681#OHK ÚO SKPV PRAHA VENKOV-ZÁPAD#N#N# # #
019801#VEL. VOJ. POLICIE STARÁ BOLESLAV#N#N# # #
0200#KŘP JIHOČESKÉHO KRAJE#N#N# # #
020000#ETŘ KŘPC#N#N# # #
020007#ODD. SILNIČNÍHO DOHLEDU KŘPC#N#N# # #
020050#ODD. DOPROVODU VLAKŮ KŘPC#N#N#cancel#0200VE#
020066#OVK KŘPC#N#N# # #
020071#OOK - 1.ODD. KŘPC#N#N# # #
020072#OOK - 2.ODD. KŘPC#N#N# # #
020073#OOK - 3.ODD. KŘPC#N#N# # #
020080#ODBOR HOSP. KRIMINALITY KŘPC#N#N# # #
020081#OHK - 1.ODD. KŘPC#N#N# # #
020082#OHK - 2.ODD. KŘPC#N#N# # #
0201#ÚO ČESKÉ BUDĚJOVICE#N#N# # #
020106#DI - CB#N#N# # #
020110#OOP ČESKÉ BUDĚJOVICE#A#A# # #
020111#OOP ČTYŘI DVORY#A#A# # #
020112#OOP SUCHÉ VRBNÉ#A#A# # #
020113#OOP HLUBOKÁ NAD VLTAVOU#A#N# # #
020114#OOP BORŠOV NAD VLTAVOU#A#N# # #
020116#OOP LIŠOV#A#N# # #
020118#OOP ŠEVĚTÍN#A#N#cancel#020113#
020119#OOP TRHOVÉ SVINY#A#N# # #
020120#OOP TÝN NAD VLTAVOU#A#N# # #
020121#OOP ZLIV#A#N#cancel#020113#
020150#OŽP ČESKÉ BUDĚJOVICE#A#A# # #
020157#OVK Č. BUDĚJOVICE#N#N# # #
020164#ODD. HLÍDKOVÉ SL. Č. BUDĚJOVICE#N#N# # #
020171#OOK ÚO SKPV ČESKÉ BUDĚJOVICE#N#N# # #
020181#OHK - SKPV ČESKÉ BUDĚJOVICE#N#N# # #
0202#ÚO ČESKÝ KRUMLOV#N#N# # #
020206#DI - CK#N#N# # #
020211#OOP ČESKÝ KRUMLOV#A#A#note# #VČETNĚ SLUŽEBNY KŘEMŽE
020213#OOP HORNÍ PLANÁ#A#N# # #
020215#OOP KAPLICE#A#N# # #
020216#OOP KŘEMŽE#A#N#cancel#020211#
020217#OOP LIPNO#A#N#note# #VČETNĚ SLUŽEBNY VYŠŠÍ BROD
020218#OOP VĚTŘNÍ#A#N# # #
020219#OOP VYŠŠÍ BROD#A#N#cancel#020217#
020257#OVK ČESKÝ KRUMLOV#N#N# # #
020271#OOK ÚO SKPV ČESKÝ KRUMLOV#N#N# # #
020281#OHK - SKPV ČESKÝ KRUMLOV#N#N# # #
0203#ÚO JINDŘICHŮV HRADEC#N#N# # #
020306#DI - JH#N#N# # #
020310#OOP DAČICE#A#N#note# #VČETNĚ SLUŽEBNY SLAVONICE
020312#OOP JINDŘICHŮV HRADEC#A#A#note# #VČETNĚ SLUŽEBNY STUDENÁ
020315#OOP NOVÁ BYSTŘICE#A#A# # #
020317#OOP SLAVONICE#A#N#cancel#020310#
020321#OOP STUDENÁ#A#N#cancel#020312#
020322#OOP SUCHDOL NAD LUŽNICÍ#A#N#note# #VČETNĚ SLUŽEBNY CHLUM A VELENICE
020323#OOP TŘEBOŇ#A#N# # #
020357#OVK JINDŘICHŮV HRADEC#N#N# # #
020371#OOK ÚO SKPV JINDŘICHŮV HRADEC#N#N# # #
020381#OHK - SKPV JINDŘICHŮV HRADEC#N#N# # #
0205#ÚO PÍSEK#N#N# # #
020506#DI - PI#N#N# # #
020512#OOP MILEVSKO#A#N# # #
020513#OOP ČIMELICE#A#N# # #
020515#OOP PÍSEK#A#A# # #
020516#OOP PROTIVÍN#A#N# # #
020517#OOP ZVÍKOVSKÉ PODHRADÍ#A#N# # #
020557#OVK PÍSEK#N#N# # #
020571#OOK ÚO SKPV PÍSEK#N#N# # #
020581#OHK - SKPV PÍSEK#N#N# # #
0206#ÚO PRACHATICE#N#N# # #
020606#DI - PR#N#N# # #
020612#OOP NETOLICE#A#N# # #
020613#OOP PRACHATICE#A#A# # #
020615#OOP VIMPERK#A#N# # #
020617#OOP VOLARY#A#N# # #
020618#OOP HORNÍ VLTAVICE#A#N# # #
020657#OVK PRACHATICE#N#N# # #
020671#OOK ÚO SKPV PRACHATICE#N#N# # #
020681#OHK - SKPV PRACHATICE#N#N# # #
0207#ÚO STRAKONICE#N#N# # #
020706#DI - ST#N#N# # #
020711#OOP BLATNÁ#A#N# # #
020714#OOP STRAKONICE#A#A# # #
020716#OOP VODŇANY#A#N# # #
020717#OOP VOLYNĚ#A#N# # #
020718#OOP RADOMYŠL#A#N# # #
020757#OVK STRAKONICE#N#N# # #
020771#OOK ÚO SKPV STRAKONICE#N#N# # #
020781#OHK - SKPV STRAKONICE#N#N# # #
0208#ÚO TÁBOR#N#N# # #
020806#DI - TA#N#N# # #
020810#OOP BECHYNĚ#A#N# # #
020812#OOP CHÝNOV#A#N#cancel#020816#
020815#OOP MLADÁ VOŽICE#A#N#note# #VČETNĚ SLUŽEBNY JISTEBNICE
020816#OOP SEZIMOVO ÚSTÍ#A#N#note# #VČETNĚ SLUŽEBNY CHÝNOV
020817#OOP SOBĚSLAV#A#N# # #
020818#OOP TÁBOR#A#A# # #
020819#OOP VESELÍ NAD LUŽNICÍ#A#A# # #
020820#OOP JISTEBNICE#A#N#cancel#020815#
020857#OVK TÁBOR#N#N# # #
020871#OOK ÚO SKPV TÁBOR#N#N# # #
020881#OHK - SKPV TÁBOR#N#N# # #
0240#OŘ SCP P ČR ČESKÉ BUDĚJOVICE#N#N# # #
024000#ETŘ OŘ SCP P ČR ČESKÉ BUDĚJOVICE#N#N# # #
024002#OŘ SCP - ODB. SPEC. ČINNOSTÍ Č.B#N#N# # #
024003#OŘ SCP - ODD. PÁTRÁNÍ Č.B.#N#N# # #
024040#OŘ SCP - SKUP. DOKUMENTACE Č.B.#N#N# # #
024061#ICP - ČESKÉ BUDĚJOVICE#N#N# # #
024062#ICP - ČESKÝ KRUMLOV#N#N# # #
024063#ICP - JINDŘICHŮV HRADEC#N#N# # #
024064#ICP - PRACHATICE#N#N# # #
024065#ICP - STRAKONICE#N#N# # #
024066#ICP - TÁBOR#N#N# # #
029801#VEL. VOJ. POLICIE TÁBOR#N#N# # #
0300#KŘP PLZEŇSKÉHO KRAJE#N#N# # #
030000#ETŘ KŘPP#N#N# # #
030040#DÁLNIČNÍ ODD. SVOJKOVICE#N#N# # #
030041#DÁLNIČNÍ ODD. OSTROV U STŘÍBRA#N#N# # #
030050#ODD. DOPROVODU VLAKŮ KŘPP#N#N# # #
030066#OVK KŘPP#N#N# # #
030070#KŘPP SKPV OOK#N#N# # #
030080#KŘPP SKPV OHK#N#N# # #
0301#ÚO DOMAŽLICE#N#N# # #
030106#DI - DO#N#N# # #
030111#OOP DOMAŽLICE#A#A#note# #VČETNĚ POL. STANICE FOLMAVA
030112#OOP HOLÝŠOV#A#N# # #
030113#OOP HORŠOVSKÝ TÝN#A#N# # #
030114#OOP KDYNĚ#A#N# # #
030115#OOP POBĚŽOVICE#A#N# # #
030171#OOK - 1.ODD. DOMAŽLICE#N#N# # #
030181#DO - SKPV OHK - 1.ODD.#N#N# # #
0304#ÚO KLATOVY#N#N# # #
030406#DI - KT#N#N# # #
030411#OOP HORAŽĎOVICE#A#N# # #
030413#OOP KAŠPERSKÉ HORY#A#N# # #
030414#OOP KLATOVY#A#A# # #
030415#OOP KOLINEC#A#N# # #
030416#OOP NÝRSKO#A#N# # #
030417#OOP PLÁNICE#A#N# # #
030418#OOP SUŠICE#A#N# # #
030419#OOP ŠVIHOV#A#N# # #
030420#OOP ŽELEZNÁ RUDA#A#N# # #
030471#OOK - 1.ODD. KLATOVY#N#N# # #
030481#KT - SKPV OHK - 1.ODD.#N#N# # #
0305#ÚO MŘ PLZEŇ#N#N# # #
030506#DI - PM#N#N# # #
030511#OOP PLZEŇ 4#A#A#note# #VČETNĚ POL. STANICE CHRÁST
030512#OOP PLZEŇ 2#A#A#note# #VČETNÉ POL. STANICE STARÝ PLZENEC
030513#OOP PLZEŇ 1#A#A# # #
030514#OOP PLZEŇ - SKVRŇANY#A#A# # #
030515#OOP PLZEŇ - BORY#A#A# # #
030516#OOP PLZEŇ - VINICE#A#A# # #
030517#OOP PLZEŇ - STŘED#A#A# # #
030550#OŽP PLZEŇ MĚSTO#A#A# # #
030565#PM - PPO - 1. ODD#N#N# # #
